external_id,operation,property_type,location_city,location_district,price_amount,price_currency,specs_rooms,specs_bathrooms,specs_floor,furnished,specs_area_m2,description,images
U001,sale,apartment,Dubai,Business Bay,1200000,AED,1,1,18,true,65,"Elegant studio in the heart of Business Bay. Features floor-to-ceiling windows with a breathtaking view of the Dubai Canal. Designer finishes with natural stone and wood. Amenities include an infinity pool, a state-of-the-art SPA, and 24/7 concierge service. Perfect for both luxury living and high-yield short-term rentals.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop1/prop1img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop1/prop1img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop1/prop1img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop1/prop1img4.jpeg""]"
U002,sale,apartment,Dubai,Dubai Marina,2850000,AED,2,2,24,true,115,Spacious 2-bedroom apartment in the iconic Dubai Marina. Live at the epicenter of maritime luxury with a direct view of the yacht harbor and walking distance to JBR beach. Features a large terrace for sunset breakfasts. Surrounded by world-class restaurants and a vibrant promenade. A perfect blend of resort vibe and urban comfort.,"[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop2/prop2img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop2/prop2img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop2/prop2img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop2/prop2img4.jpeg""]"
U003,sale,apartment,Dubai,Downtown Dubai,4200000,AED,2,2,37,true,130,"Ultra-luxury residence in Downtown Dubai, the world's most prestigious address. Features an unobstructed view of the legendary Burj Khalifa and the Dancing Fountains. High-end interiors designed by leading architects, Miele kitchen appliances, and a smart home system. Residents enjoy private access to Dubai Mall and an Olympic-sized rooftop pool.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop3/prop3img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop3/prop3img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop3/prop3img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop3/prop3img4.jpeg""]"
U004,sale,apartment,Dubai,Palm Jumeirah,6500000,AED,3,3,12,false,210,"Exclusive residence on the 8th wonder of the world – Palm Jumeirah. This is more than just a home; it's a lifestyle featuring a private beach, club access to 5-star hotels, and panoramic skyline views. Includes a massive terrace, three master bedrooms, and staff quarters. Finished with Italian marble and rare woods. Your private sanctuary in the city's safest haven.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop4/prop4img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop4/prop4img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop4/prop4img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop4/prop4img4.jpeg""]"
U005,sale,apartment,Dubai,Jumeirah Village Circle,950000,AED,1,1,9,false,75,"A gold standard for investment in JVC. Modern apartment in a new complex famous for its active lifestyle infrastructure. Smart layout, plenty of natural light, and premium European sanitary ware. Features landscaped gardens, BBQ zones, and pro-level gyms. Located in an area with the highest rental yields and steady capital appreciation.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop5/prop5img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop5/prop5img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop5/prop5img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop5/prop5img4.jpeg""]"
U006,sale,apartment,Dubai,Creek Harbour,2100000,AED,2,2,21,true,105,"The future of Dubai is here. Apartment in Creek Harbour with views of the pink flamingos at Ras Al Khor sanctuary and the futuristic skyline. Designed as a 'city within a city' with a focus on ecology and technology. Fully furnished in Scandinavian minimalist style. Steps away from the promenade, marina, and the district's largest park. Best choice for those who value peace and aesthetics.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop6/prop6img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop6/prop6img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop6/prop6img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop6/prop6img4.jpeg""]"
U007,sale,apartment,Dubai,Meydan,1500000,AED,1,1,14,true,80,"Stylish apartment in Sobha Hartland, Meydan. A unique community where 30% of the land is dedicated to green spaces. Highest construction quality from one of the UAE's top developers. Features premium soundproofing and advanced air filtration. Located near top international schools and the Meydan Racecourse, just 10 minutes from Burj Khalifa. Urban luxury meets suburban tranquility.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop7/prop7img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop7/prop7img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop7/prop7img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop7/prop7img4.jpeg""]"
U008,sale,apartment,Dubai,Jumeirah Lake Towers,1800000,AED,2,2,27,false,95,"Cozy residence in JLT with panoramic views of golf courses and mirror-like lakes. Located on a high floor, ensuring peace and quiet. The area is perfect for walking, with hundreds of cafes, restaurants, and fitness studios around. Metro station is within a 5-minute walk. Excellent offer for young professionals or small families who value city dynamics.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop8/prop8img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop8/prop8img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop8/prop8img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop8/prop8img4.jpeg""]"
U009,sale,apartment,Dubai,Dubai Hills,3100000,AED,2,2,16,true,120,Premium apartment in Dubai's greenest district – Dubai Hills Estate. Windows overlook endless parklands and the golf club. Designed like a European capital with wide boulevards and modern architecture. Within walking distance of the massive Dubai Hills Mall. Features a Smart Home system and an open-plan kitchen. The ultimate destination for quiet family life.,"[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop9/prop9img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop9/prop9img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop9/prop9img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop9/prop9img4.jpeg""]"
U010,sale,apartment,Dubai,DAMAC Hills,2200000,AED,3,3,8,false,150,"Family apartment in the elite golf community of DAMAC Hills. Features everything from a wave pool park to fishing lakes and horse stables. The unit offers a massive 3-bedroom layout and a dedicated dining area. Residents enjoy exclusive access to Trump International Golf Club. A quiet, safe district with clean air, away from city noise but with all urban luxuries.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop10/prop10img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop10/prop10img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop10/prop10img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop10/prop10img4.jpeg""]"
U011,sale,apartment,Dubai,Bluewaters Island,8900000,AED,3,4,30,true,250,"The jewel of Bluewaters Island. Rare residential format on an island connected by a pedestrian bridge. Beneath your windows is the world's largest Ferris wheel, Ain Dubai. Features 360-degree views of the Arabian Gulf, 3.5m high ceilings, and a private security system. Surrounded by top boutiques and beach clubs. A trophy property for collectors of fine views.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop11/prop11img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop11/prop11img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop11/prop11img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop11/prop11img4.jpeg""]"
U012,sale,apartment,Dubai,Emaar Beachfront,5400000,AED,2,2,22,true,140,"Miami-style living on the private Emaar Beachfront island. The only district in Dubai with a 1.5km private beach accessible directly from your lobby. Modern light-toned interior, open-plan kitchen, and floor-to-ceiling windows with views of the open sea and Palm Jumeirah. Includes an infinity pool, private yacht berths, and lounge zones. Your personal summer all year round.","[""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop12/prop12img1.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop12/prop12img2.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop12/prop12img3.jpeg"",""https://pub-776bfe06e9354d4c9490a3366e86aa00.r2.dev/prop12/prop12img4.jpeg""]"
