external_id,operation,property_type,price_amount,price_currency,price_per_m2,location_country,location_city,location_district,location_neighborhood,location_address,building_year,building_floors,building_type,wall_material,elevator,balcony_type,condition,building_infrastructure,specs_rooms,specs_bathrooms,specs_area_m2,specs_floor,specs_balcony,specs_terrace,furnished,title,description,images
OD001,sale,apartment,3248000,UAH,43309,UA,Одеса,Суворовський,Лузанівка,"вул. Пушкінська, 77",2012,9,сталінка,газоблок,true,відкритий,житловий стан,"[""дитячий майданчик"",""підземний паркінг"",""консьєрж""]",2,2,75,2,true,false,true,Світла квартира • Лузанівка,"2-кімнатна квартира, 75 м², житловий стан. Район Лузанівка, Суворовський район. Є ліфт, матеріал стін: газоблок, балкон: відкритий.","[""https://picsum.photos/seed/od-1-1/1200/900"",""https://picsum.photos/seed/od-1-2/1200/900"",""https://picsum.photos/seed/od-1-3/1200/900""]"
OD002,sale,apartment,2499000,UAH,27766,UA,Одеса,Суворовський,Лузанівка,"вул. Філатова, 2",2013,25,сталінка,газоблок,true,засклений,житловий стан,"[""охорона"",""дитячий майданчик"",""підземний паркінг"",""консьєрж""]",4,3,90,22,true,false,true,Світла квартира • Лузанівка,"4-кімнатна квартира, 90 м², житловий стан. Район Лузанівка, Суворовський район. Є ліфт, матеріал стін: газоблок, балкон: засклений.","[""https://picsum.photos/seed/od-2-1/1200/900"",""https://picsum.photos/seed/od-2-2/1200/900"",""https://picsum.photos/seed/od-2-3/1200/900""]"
OD003,sale,apartment,4748000,UAH,46096,UA,Одеса,Приморський,Аркадія,"вул. Люстдорфська дорога, 7",2006,21,хрущовка,цегла,true,засклений,житловий стан,"[""охорона"",""дитячий майданчик""]",3,1,103,15,true,false,true,Сімейна квартира • Аркадія,"3-кімнатна квартира, 103 м², житловий стан. Район Аркадія, Приморський район. Є ліфт, матеріал стін: цегла, балкон: засклений.","[""https://picsum.photos/seed/od-3-1/1200/900"",""https://picsum.photos/seed/od-3-2/1200/900"",""https://picsum.photos/seed/od-3-3/1200/900""]"
OD004,sale,apartment,2166000,UAH,24900,UA,Одеса,Суворовський,Котовського,"вул. Канатна, 51",2011,18,спецпроект,панель,true,відкритий,євроремонт,"[""поруч парк"",""охорона"",""консьєрж""]",3,1,87,14,true,false,false,Квартира під інвестицію • Котовського,"3-кімнатна квартира, 87 м², євроремонт. Район Котовського, Суворовський район. Є ліфт, матеріал стін: панель, балкон: відкритий.","[""https://picsum.photos/seed/od-4-1/1200/900"",""https://picsum.photos/seed/od-4-2/1200/900"",""https://picsum.photos/seed/od-4-3/1200/900""]"
OD005,sale,apartment,3179000,UAH,37402,UA,Одеса,Київський,Таїрова,"вул. Канатна, 69",1998,16,сталінка,газоблок,true,засклений,після ремонту,"[""дитячий майданчик"",""гостьовий паркінг""]",2,2,85,7,true,false,false,Квартира під інвестицію • Таїрова,"2-кімнатна квартира, 85 м², після ремонту. Район Таїрова, Київський район. Є ліфт, матеріал стін: газоблок, балкон: засклений.","[""https://picsum.photos/seed/od-5-1/1200/900"",""https://picsum.photos/seed/od-5-2/1200/900"",""https://picsum.photos/seed/od-5-3/1200/900""]"
OD006,sale,apartment,3444000,UAH,61498,UA,Одеса,Приморський,Центр,"вул. Філатова, 73",2026,25,сталінка,панель,true,відкритий,від будівельників,"[""консьєрж"",""гостьовий паркінг"",""поруч парк""]",3,3,56,19,true,true,true,Квартира з терасою • Центр,"3-кімнатна квартира, 56 м², від будівельників. Район Центр, Приморський район. Є ліфт, матеріал стін: панель, балкон: відкритий.","[""https://picsum.photos/seed/od-6-1/1200/900"",""https://picsum.photos/seed/od-6-2/1200/900"",""https://picsum.photos/seed/od-6-3/1200/900""]"
OD007,sale,apartment,3090000,UAH,40129,UA,Одеса,Київський,Таїрова,"вул. Генуезька, 109",1998,19,спецпроект,газоблок,true,засклений,після ремонту,"[""консьєрж"",""охорона""]",2,1,77,19,true,false,false,Світла квартира • Таїрова,"2-кімнатна квартира, 77 м², після ремонту. Район Таїрова, Київський район. Є ліфт, матеріал стін: газоблок, балкон: засклений.","[""https://picsum.photos/seed/od-7-1/1200/900"",""https://picsum.photos/seed/od-7-2/1200/900"",""https://picsum.photos/seed/od-7-3/1200/900""]"
OD008,sale,apartment,5144000,UAH,60517,UA,Одеса,Київський,Фонтан,"вул. Пушкінська, 95",1999,8,чешка,газоблок,true,відкритий,від будівельників,"[""консьєрж"",""охорона"",""поруч парк"",""гостьовий паркінг""]",2,3,85,3,true,true,true,Сімейна квартира • Фонтан,"2-кімнатна квартира, 85 м², від будівельників. Район Фонтан, Київський район. Є ліфт, матеріал стін: газоблок, балкон: відкритий.","[""https://picsum.photos/seed/od-8-1/1200/900"",""https://picsum.photos/seed/od-8-2/1200/900"",""https://picsum.photos/seed/od-8-3/1200/900""]"
OD009,sale,apartment,3978000,UAH,53753,UA,Одеса,Приморський,Французький бульвар,"вул. Люстдорфська дорога, 63",2015,24,чешка,моноліт,true,без балкона,євроремонт,"[""консьєрж"",""поруч парк"",""дитячий майданчик"",""підземний паркінг""]",3,1,74,24,false,false,true,Квартира з терасою • Французький бульвар,"3-кімнатна квартира, 74 м², євроремонт. Район Французький бульвар, Приморський район. Є ліфт, матеріал стін: моноліт, балкон: без балкона.","[""https://picsum.photos/seed/od-9-1/1200/900"",""https://picsum.photos/seed/od-9-2/1200/900"",""https://picsum.photos/seed/od-9-3/1200/900""]"
OD010,sale,apartment,2323000,UAH,42237,UA,Одеса,Приморський,Аркадія,"вул. Пушкінська, 104",2024,12,спецпроект,цегла,true,відкритий,євроремонт,"[""підземний паркінг"",""консьєрж"",""поруч парк"",""дитячий майданчик""]",1,1,55,5,true,false,false,Світла квартира • Аркадія,"1-кімнатна квартира, 55 м², євроремонт. Район Аркадія, Приморський район. Є ліфт, матеріал стін: цегла, балкон: відкритий.","[""https://picsum.photos/seed/od-10-1/1200/900"",""https://picsum.photos/seed/od-10-2/1200/900"",""https://picsum.photos/seed/od-10-3/1200/900""]"
